Date,OPEN,HIGH,LOW,LAST_PRICE,VOLUME
08/08/17 12:20,1781.65,1781.65,1781.3,1781.3,604
08/08/17 12:21,1781.3,1781.7,1781.3,1781.55,2006
08/08/17 12:22,1781.25,1781.6,1781.25,1781.55,1290
08/08/17 12:23,1781.6,1782.0,1781.6,1781.65,701
08/08/17 12:24,1782.0,1782.0,1780.85,1780.9,9681
08/08/17 12:25,1780.8,1780.95,1778.8,1779.0,1618
08/08/17 12:26,1778.8,1779.5,1778.7,1779.5,165
08/08/17 12:27,1779.5,1780.45,1779.1,1779.1,239
08/08/17 12:28,1779.15,1780.0,1779.1,1779.75,651
08/08/17 12:29,1779.9,1779.9,1779.05,1779.05,322
08/08/17 12:30,1779.85,1779.9,1779.05,1779.25,564
08/08/17 12:31,1779.9,1779.9,1778.75,1778.75,1413
08/08/17 12:32,1778.7,1779.8,1778.7,1778.8,125
08/08/17 12:33,1778.75,1779.85,1778.5,1778.75,645
08/08/17 12:34,1779.5,1779.75,1779.0,1779.0,111
08/08/17 12:35,1778.5,1779.0,1778.05,1778.7,250
08/08/17 12:36,1779.45,1779.45,1778.7,1779.05,102
08/08/17 12:37,1779.45,1779.85,1778.95,1779.0,985
08/08/17 12:38,1779.0,1779.0,1778.7,1778.7,454
08/08/17 12:39,1778.8,1779.0,1778.5,1778.5,329
08/08/17 12:40,1778.3,1779.0,1778.15,1778.25,110
08/08/17 12:41,1778.3,1779.0,1778.05,1778.05,146
08/08/17 12:42,1778.05,1778.85,1778.05,1778.1,120
08/08/17 12:43,1778.75,1778.8,1778.1,1778.1,126
08/08/17 12:44,1778.1,1778.8,1778.1,1778.75,147
08/08/17 12:45,1778.8,1778.8,1778.1,1778.1,104
08/08/17 12:46,1778.1,1778.8,1778.05,1778.05,212
08/08/17 12:47,1778.05,1778.7,1778.05,1778.05,138
08/08/17 12:48,1778.7,1778.8,1778.0,1778.05,2665
08/08/17 12:49,1778.05,1778.8,1778.0,1778.0,559
08/08/17 12:50,1778.7,1778.85,1778.0,1778.0,683
08/08/17 12:51,1778.0,1778.95,1778.0,1778.05,314
08/08/17 12:52,1778.05,1779.25,1778.0,1778.4,106
08/08/17 12:53,1778.4,1779.55,1778.4,1778.65,103
08/08/17 12:54,1778.2,1779.95,1778.2,1779.1,1329
08/08/17 12:55,1779.1,1781.1,1779.1,1780.8,831
08/08/17 12:56,1780.9,1781.9,1780.85,1781.0,102
08/08/17 12:57,1781.9,1781.9,1780.15,1781.8,398
08/08/17 12:58,1781.65,1781.9,1780.35,1780.65,419
08/08/17 12:59,1780.75,1781.9,1780.35,1780.35,302
08/08/17 13:00,1780.75,1780.75,1780.2,1780.2,367
08/08/17 13:01,1780.75,1780.75,1779.45,1779.7,3023
08/08/17 13:02,1780.0,1780.0,1779.6,1780.0,1930
08/08/17 13:03,1779.8,1780.0,1779.55,1779.9,269
08/08/17 13:04,1780.0,1780.0,1779.15,1779.8,746
08/08/17 13:05,1780.0,1780.0,1779.45,1779.6,198
08/08/17 13:06,1779.95,1780.0,1779.6,1780.0,2840
08/08/17 13:07,1779.65,1780.1,1779.65,1780.0,1713
08/08/17 13:08,1779.8,1780.8,1779.55,1780.8,393
08/08/17 13:09,1780.7,1781.0,1780.0,1780.8,426
08/08/17 13:10,1780.6,1780.9,1779.85,1780.15,609
08/08/17 13:11,1780.8,1781.05,1779.85,1780.0,206
08/08/17 13:12,1779.95,1780.75,1778.6,1778.6,269
08/08/17 13:13,1778.9,1780.35,1778.6,1780.0,281
08/08/17 13:14,1780.0,1780.45,1779.05,1779.9,260
08/08/17 13:15,1780.7,1780.8,1779.45,1779.45,719
08/08/17 13:16,1779.85,1780.85,1779.55,1779.7,216
08/08/17 13:17,1780.65,1781.1,1779.85,1781.0,410
08/08/17 13:18,1781.2,1781.9,1780.65,1780.65,490
08/08/17 13:19,1780.8,1781.9,1780.0,1780.0,304
08/08/17 13:20,1780.85,1780.85,1779.1,1779.2,266
08/08/17 13:21,1779.45,1781.55,1779.45,1779.9,303
08/08/17 13:22,1780.15,1781.0,1780.1,1780.3,210
08/08/17 13:23,1781.0,1781.5,1780.25,1780.6,204
08/08/17 13:24,1780.55,1781.65,1778.1,1778.1,1113
08/08/17 13:25,1778.15,1778.65,1777.15,1778.0,2254
08/08/17 13:26,1778.0,1779.85,1778.0,1779.75,407
08/08/17 13:27,1779.75,1780.0,1779.25,1779.9,195
08/08/17 13:28,1779.9,1780.0,1778.55,1779.0,227
08/08/17 13:29,1778.95,1779.15,1777.0,1777.0,729
08/08/17 13:30,1776.8,1776.9,1775.0,1775.0,13298
08/08/17 13:31,1775.0,1775.8,1775.0,1775.6,1285
08/08/17 13:32,1775.45,1777.15,1775.4,1776.15,491
08/08/17 13:33,1776.15,1776.15,1775.0,1775.85,12428
08/08/17 13:34,1775.0,1775.8,1775.0,1775.8,7780
08/08/17 13:35,1775.5,1776.9,1775.5,1775.85,132
08/08/17 13:36,1775.85,1775.9,1775.5,1775.9,1108
08/08/17 13:37,1776.5,1777.2,1776.45,1777.2,195
08/08/17 13:38,1777.05,1777.9,1776.8,1777.85,407
08/08/17 13:39,1778.0,1778.0,1776.15,1776.15,750
08/08/17 13:40,1776.0,1776.3,1775.25,1775.25,658
08/08/17 13:41,1775.1,1775.8,1775.0,1775.75,6083
08/08/17 13:42,1775.1,1775.6,1775.0,1775.0,222
08/08/17 13:43,1775.4,1775.8,1775.0,1775.15,784
08/08/17 13:44,1775.15,1775.9,1775.15,1775.75,1669
